1983.80,2023-03-26 13:37:34
1983.80,2023-03-26 13:37:34
1983.80,2023-03-26 13:55:02
1983.80,2023-03-26 13:55:02
1983.80,2023-03-26 13:56:02
1983.80,2023-03-26 13:56:02
1983.80,2023-03-26 13:57:02
1983.80,2023-03-26 13:57:02
1983.80,2023-03-26 14:00:03
1983.80,2023-03-26 14:00:03
1983.80,2023-03-26 16:05:02
1983.80,2023-03-26 16:05:02
1983.80,2023-03-26 16:10:02
1983.80,2023-03-26 16:10:02
1983.80,2023-03-26 16:15:02
1983.80,2023-03-26 16:15:02
1983.80,2023-03-26 16:20:02
1983.80,2023-03-26 16:20:02
1983.80,2023-03-26 16:25:02
1983.80,2023-03-26 16:25:02
1983.80,2023-03-26 16:30:03
1983.80,2023-03-26 16:30:03
1983.80,2023-03-26 16:35:07
1983.80,2023-03-26 16:35:07
1983.80,2023-03-26 16:40:02
1983.80,2023-03-26 16:40:02
1983.80,2023-03-26 18:00:02
1983.80,2023-03-26 18:00:02
1983.80,2023-03-26 18:01:04
1983.80,2023-03-26 18:01:04
1983.80,2023-03-26 18:02:02
1983.80,2023-03-26 18:02:02
1983.80,2023-03-26 18:03:01
1983.80,2023-03-26 18:03:01
1983.80,2023-03-26 18:04:02
1983.80,2023-03-26 18:04:02
1983.80,2023-03-26 18:05:02
1983.80,2023-03-26 18:05:02
1983.80,2023-03-26 18:06:02
1983.80,2023-03-26 18:06:02
1983.80,2023-03-26 18:07:02
1983.80,2023-03-26 18:07:02
1983.80,2023-03-26 18:08:02
1983.80,2023-03-26 18:08:02
1983.80,2023-03-26 18:09:02
1983.80,2023-03-26 18:09:02
1983.80,2023-03-26 18:10:03
1983.80,2023-03-26 18:10:03
1983.80,2023-03-26 18:11:02
1983.80,2023-03-26 18:11:02
1983.80,2023-03-26 18:12:02
1983.80,2023-03-26 18:12:02
1983.80,2023-03-26 18:13:01
1983.80,2023-03-26 18:13:01
1983.80,2023-03-26 18:14:03
1983.80,2023-03-26 18:14:03
1983.80,2023-03-26 18:15:01
1983.80,2023-03-26 18:15:01
1983.80,2023-03-26 18:16:02
1983.80,2023-03-26 18:16:02
1983.80,2023-03-26 18:17:02
1983.80,2023-03-26 18:17:02
1983.80,2023-03-26 18:18:02
1983.80,2023-03-26 18:18:02
1983.80,2023-03-26 18:19:02
1983.80,2023-03-26 18:19:02
